run_id,created_at,pipeline,model,embedding_model,csv,index_base,train_proteins,validation_proteins,test_proteins,train_fraction,validation_fraction,threshold,duration_seconds,training_log,config_json,validation_precision,validation_recall,validation_specificity,validation_f1,validation_mcc,validation_pr_auc,validation_roc_auc,validation_positive_rate,validation_best_f1_threshold,validation_best_f1,validation_best_f1_precision,validation_best_f1_recall,validation_best_precision_threshold,validation_best_precision,validation_best_precision_recall,validation_best_precision_f1,validation_top_1_precision,validation_top_1_protein_recall,validation_top_3_precision,validation_top_3_protein_recall,validation_top_5_precision,validation_top_5_protein_recall,validation_top_10_precision,validation_top_10_protein_recall
20260516T155400Z_33198c5d,2026-05-16T15:54:00+00:00,window,logistic,,data/residual_amino_database.csv,zero,85153,10714,10722,0.8,0.1,0.5,4.367,loss=0.7431 | loss=0.5979 | loss=0.5399 | loss=0.5079 | loss=0.4868,"{""batch_size"": 512, ""epochs"": 5, ""learning_rate"": 0.05, ""max_depth"": null, ""max_eval_positions"": 300000, ""max_train_positions"": 100000, ""mlp_hidden_units"": 64, ""model_name"": ""logistic"", ""n_estimators"": 100, ""n_jobs"": 1, ""negative_ratio"": 10, ""radius"": 10, ""seed"": 13}",0.029650854953748404,0.7752442996742671,0.8957231601354879,0.05711714414279286,0.13857664484767615,0.06285705271701837,0.9277323412783123,0.004093333333333333,0.8,0.13454960091220067,0.10350877192982456,0.19218241042345277,0.95,1.0,0.0008143322475570033,0.001627339300244101,,,,,,,,
20260516T155405Z_e0d94516,2026-05-16T15:54:05+00:00,window,mlp,,data/residual_amino_database.csv,zero,85153,10714,10722,0.8,0.1,0.5,6.662,iterations=16 | loss=0.0165 | hidden_units=128,"{""batch_size"": 512, ""epochs"": 30, ""learning_rate"": 0.001, ""max_depth"": null, ""max_eval_positions"": 300000, ""max_train_positions"": 100000, ""mlp_hidden_units"": 128, ""model_name"": ""mlp"", ""n_estimators"": 100, ""n_jobs"": 1, ""negative_ratio"": 10, ""radius"": 10, ""seed"": 13}",0.19534391534391535,0.751628664495114,0.9872745772696236,0.31009575004199563,0.37891557501853895,0.5511759996207872,0.979757921469733,0.004093333333333333,0.9,0.5473032714412024,0.5986460348162476,0.504071661237785,0.99,0.9317073170731708,0.15553745928338764,0.26657362177250526,,,,,,,,
20260516T155412Z_6a68ca01,2026-05-16T15:54:12+00:00,window,random-forest,,data/residual_amino_database.csv,zero,85153,10714,10722,0.8,0.1,0.5,13.052,n_estimators=100 | max_depth=12,"{""batch_size"": 512, ""epochs"": 5, ""learning_rate"": 0.05, ""max_depth"": 12, ""max_eval_positions"": 300000, ""max_train_positions"": 100000, ""mlp_hidden_units"": 64, ""model_name"": ""random-forest"", ""n_estimators"": 100, ""n_jobs"": 1, ""negative_ratio"": 10, ""radius"": 10, ""seed"": 13}",0.021848739495798318,0.9210097719869706,0.8305262876039254,0.04268488290906346,0.1269899456309307,0.1848409398822634,0.9474400854773575,0.004093333333333333,0.8,0.20667102681491173,0.5249169435215947,0.12866449511400652,0.8,0.5249169435215947,0.12866449511400652,0.20667102681491173,,,,,,,,
20260516T155426Z_249e7849,2026-05-16T15:54:26+00:00,window,xgboost,,data/residual_amino_database.csv,zero,85153,10714,10722,0.8,0.1,0.5,11.072,n_estimators=250 | max_depth=4 | scale_pos_weight=9.7596,"{""batch_size"": 512, ""epochs"": 5, ""learning_rate"": 0.03, ""max_depth"": 4, ""max_eval_positions"": 300000, ""max_train_positions"": 100000, ""mlp_hidden_units"": 64, ""model_name"": ""xgboost"", ""n_estimators"": 250, ""n_jobs"": 1, ""negative_ratio"": 10, ""radius"": 10, ""seed"": 13}",0.019788240131578948,0.9405537459283387,0.808506151848232,0.0387609906705148,0.12081505253622944,0.09777025639134168,0.9401363015759928,0.004093333333333333,0.9,0.14428312159709616,0.16290983606557377,0.12947882736156352,0.95,1.0,0.0008143322475570033,0.001627339300244101,,,,,,,,
20260516T155438Z_7c42d6ef,2026-05-16T15:54:38+00:00,embedding,logistic,facebook/esm2_t6_8M_UR50D,data/residual_amino_database.csv,zero,85153,10714,10722,0.8,0.1,0.5,153.523,iterations=45,"{""batch_size"": 512, ""classifier"": ""logistic"", ""device"": ""auto"", ""embedding_cache_dir"": ""data/embedding_cache"", ""embedding_context_mode"": ""concat"", ""embedding_context_radius"": 0, ""embedding_model"": ""facebook/esm2_t6_8M_UR50D"", ""epochs"": 200, ""learning_rate"": 0.001, ""max_depth"": null, ""max_eval_positions"": 300000, ""max_residues_per_chunk"": 900, ""max_train_positions"": 50000, ""mlp_hidden_units"": 128, ""n_estimators"": 100, ""n_jobs"": 1, ""negative_ratio"": 10, ""seed"": 13, ""show_progress"": true}",0.035419499699566745,0.9120521172638436,0.8979121202790088,0.06819081250570795,0.1684119518049468,0.16048346911076528,0.9644097842674233,0.004093333333333333,0.99,0.24964639321074966,0.220625,0.28745928338762217,0.99,0.220625,0.28745928338762217,0.24964639321074966,0.06860823298795855,0.6234096692111959,0.033301173321714235,0.8770144189991518,0.02145168228319213,0.9355385920271416,0.011465210163856565,0.9830364715860899
20260516T155713Z_26e9ae89,2026-05-16T15:57:13+00:00,embedding,mlp,facebook/esm2_t6_8M_UR50D,data/residual_amino_database.csv,zero,85153,10714,10722,0.8,0.1,0.5,169.811,iterations=23 | loss=0.0180 | hidden_units=128,"{""batch_size"": 512, ""classifier"": ""mlp"", ""device"": ""auto"", ""embedding_cache_dir"": ""data/embedding_cache"", ""embedding_context_mode"": ""concat"", ""embedding_context_radius"": 0, ""embedding_model"": ""facebook/esm2_t6_8M_UR50D"", ""epochs"": 50, ""learning_rate"": 0.001, ""max_depth"": null, ""max_eval_positions"": 300000, ""max_residues_per_chunk"": 900, ""max_train_positions"": 50000, ""mlp_hidden_units"": 128, ""n_estimators"": 100, ""n_jobs"": 1, ""negative_ratio"": 10, ""seed"": 13, ""show_progress"": true}",0.2203781512605042,0.8542345276872965,0.9875791573507557,0.3503674014696058,0.430124358083333,0.5684296217215467,0.9894363468514398,0.004093333333333333,0.9,0.5792704947634525,0.5204412719013628,0.6530944625407166,0.99,0.7286821705426356,0.38273615635179153,0.5018686599038975,0.09521142537104453,0.8651399491094147,0.03628894214310168,0.9525021204410518,0.02236810114271821,0.9737065309584394,0.011579197340299217,0.993214588634436
20260516T160004Z_56978f75,2026-05-16T16:00:04+00:00,embedding,xgboost,facebook/esm2_t6_8M_UR50D,data/residual_amino_database.csv,zero,85153,10714,10722,0.8,0.1,0.5,166.201,n_estimators=300 | max_depth=4 | scale_pos_weight=9.6860,"{""batch_size"": 512, ""classifier"": ""xgboost"", ""device"": ""auto"", ""embedding_cache_dir"": ""data/embedding_cache"", ""embedding_context_mode"": ""concat"", ""embedding_context_radius"": 0, ""embedding_model"": ""facebook/esm2_t6_8M_UR50D"", ""epochs"": 20, ""learning_rate"": 0.03, ""max_depth"": 4, ""max_eval_positions"": 300000, ""max_residues_per_chunk"": 900, ""max_train_positions"": 50000, ""mlp_hidden_units"": 128, ""n_estimators"": 300, ""n_jobs"": 1, ""negative_ratio"": 10, ""seed"": 13, ""show_progress"": true}",0.044075058515491726,0.9047231270358306,0.9193498721433067,0.08405522980896538,0.18965810277277464,0.3178962528572008,0.9711288102818787,0.004093333333333333,0.9,0.33573893944148103,0.2730985196528841,0.43566775244299677,0.99,1.0,0.0008143322475570033,0.001627339300244101,0.07887613180248297,0.7167090754877015,0.03420372848650836,0.8999151823579304,0.021769623520170565,0.9499575911789653,0.011436713369745903,0.981340118744699
20260516T160252Z_aee6307c,2026-05-16T16:02:52+00:00,embedding,mlp,facebook/esm2_t6_8M_UR50D,data/residual_amino_database.csv,zero,85153,10714,10722,0.8,0.1,0.5,155.224,iterations=22 | loss=0.0016 | hidden_units=128,"{""batch_size"": 512, ""classifier"": ""mlp"", ""device"": ""auto"", ""embedding_cache_dir"": ""data/embedding_cache"", ""embedding_context_mode"": ""concat"", ""embedding_context_radius"": 1, ""embedding_model"": ""facebook/esm2_t6_8M_UR50D"", ""epochs"": 50, ""learning_rate"": 0.001, ""max_depth"": null, ""max_eval_positions"": 300000, ""max_residues_per_chunk"": 900, ""max_train_positions"": 50000, ""mlp_hidden_units"": 128, ""n_estimators"": 100, ""n_jobs"": 1, ""negative_ratio"": 10, ""seed"": 13, ""show_progress"": true}",0.25159160575336004,0.8688925081433225,0.989376514532821,0.3901993051746206,0.46418323152377955,0.6100929113120737,0.9886828117840536,0.004093333333333333,0.99,0.6223175965665237,0.6578947368421053,0.5903908794788274,0.99,0.6578947368421053,0.5903908794788274,0.6223175965665237,0.09838513955007934,0.8939779474130619,0.03619557436743332,0.9508057675996607,0.022255886588490526,0.9703138252756573,0.011560199477558774,0.9906700593723494
20260516T160528Z_6cfd3ae3,2026-05-16T16:05:28+00:00,embedding,mlp,facebook/esm2_t6_8M_UR50D,data/residual_amino_database.csv,zero,85153,10714,10722,0.8,0.1,0.5,165.43,iterations=12 | loss=0.0039 | hidden_units=128,"{""batch_size"": 512, ""classifier"": ""mlp"", ""device"": ""auto"", ""embedding_cache_dir"": ""data/embedding_cache"", ""embedding_context_mode"": ""concat"", ""embedding_context_radius"": 2, ""embedding_model"": ""facebook/esm2_t6_8M_UR50D"", ""epochs"": 50, ""learning_rate"": 0.001, ""max_depth"": null, ""max_eval_positions"": 300000, ""max_residues_per_chunk"": 900, ""max_train_positions"": 50000, ""mlp_hidden_units"": 128, ""n_estimators"": 100, ""n_jobs"": 1, ""negative_ratio"": 10, ""seed"": 13, ""show_progress"": true}",0.2327754835905238,0.8721498371335505,0.9881849704791613,0.36747297992794653,0.44699842980383137,0.6276321189206624,0.9886744332970168,0.004093333333333333,0.95,0.6297577854671279,0.596504005826657,0.6669381107491856,0.99,0.7189384800965019,0.48534201954397393,0.579484686436558,0.09745169420330439,0.8854961832061069,0.03644455510254894,0.9558948261238338,0.022330696291308984,0.9737065309584394,0.011531702683448112,0.9889737065309584
20260516T160815Z_711c5225,2026-05-16T16:08:15+00:00,embedding,mlp,facebook/esm2_t6_8M_UR50D,data/residual_amino_database.csv,zero,85153,10714,10722,0.8,0.1,0.5,152.246,iterations=34 | loss=0.0175 | hidden_units=128,"{""batch_size"": 512, ""classifier"": ""mlp"", ""device"": ""auto"", ""embedding_cache_dir"": ""data/embedding_cache"", ""embedding_context_mode"": ""mean"", ""embedding_context_radius"": 2, ""embedding_model"": ""facebook/esm2_t6_8M_UR50D"", ""epochs"": 50, ""learning_rate"": 0.001, ""max_depth"": null, ""max_eval_positions"": 300000, ""max_residues_per_chunk"": 900, ""max_train_positions"": 50000, ""mlp_hidden_units"": 128, ""n_estimators"": 100, ""n_jobs"": 1, ""negative_ratio"": 10, ""seed"": 13, ""show_progress"": true}",0.18330605564648117,0.7296416938110749,0.9866386408364907,0.29300196206671025,0.3612377471030066,0.32701002801145024,0.9718709305464963,0.004093333333333333,0.95,0.4114503816793893,0.38721264367816094,0.43892508143322473,0.99,0.47925033467202144,0.2915309446254072,0.36253164556962025,0.0850368710911976,0.7726887192536047,0.03414148330272945,0.897370653095844,0.021432979857487516,0.9363867684478372,0.01128473046782237,0.9703138252756573
20260516T161048Z_a7b1fabb,2026-05-16T16:10:48+00:00,embedding,xgboost,facebook/esm2_t6_8M_UR50D,data/residual_amino_database.csv,zero,85153,10714,10722,0.8,0.1,0.5,164.061,n_estimators=300 | max_depth=4 | scale_pos_weight=9.6860,"{""batch_size"": 512, ""classifier"": ""xgboost"", ""device"": ""auto"", ""embedding_cache_dir"": ""data/embedding_cache"", ""embedding_context_mode"": ""mean"", ""embedding_context_radius"": 2, ""embedding_model"": ""facebook/esm2_t6_8M_UR50D"", ""epochs"": 20, ""learning_rate"": 0.03, ""max_depth"": 4, ""max_eval_positions"": 300000, ""max_residues_per_chunk"": 900, ""max_train_positions"": 50000, ""mlp_hidden_units"": 128, ""n_estimators"": 300, ""n_jobs"": 1, ""negative_ratio"": 10, ""seed"": 13, ""show_progress"": true}",0.026262784796881947,0.8175895765472313,0.8754066646138192,0.050890843196391006,0.13269139948902942,0.16580170903547636,0.9264405688239343,0.004093333333333333,0.9,0.24847428073234523,0.2673545966228893,0.23208469055374592,0.95,0.5538461538461539,0.05863192182410423,0.10603829160530191,0.06058060300569402,0.5504664970313825,0.02959758488686938,0.7845631891433418,0.019600142138435354,0.8625954198473282,0.010885775350273094,0.9389312977099237
20260516T161333Z_b7aab990,2026-05-16T16:13:33+00:00,squidly_like,contrastive_projection_bilstm,facebook/esm2_t6_8M_UR50D,data/residual_amino_database.csv,zero,85153,10714,10722,0.8,0.1,0.5,1285.275,contrastive_epoch_1_loss=0.1043 | contrastive_epoch_2_loss=0.0343 | contrastive_epoch_3_loss=0.0212 | lstm_epoch_1_loss=0.3311 | lstm_epoch_2_loss=0.2487 | lstm_epoch_3_loss=0.1989 | lstm_epoch_4_loss=0.1713 | lstm_epoch_5_loss=0.1552,"{""classifier_epochs"": 5, ""contrastive_batch_size"": 512, ""contrastive_batches_per_epoch"": 500, ""contrastive_epochs"": 3, ""device"": ""auto"", ""embedding_cache_dir"": ""data/embedding_cache"", ""embedding_model"": ""facebook/esm2_t6_8M_UR50D"", ""learning_rate"": 0.001, ""lstm_dropout"": 0.2, ""lstm_hidden_dim"": 128, ""lstm_layers"": 2, ""max_contrastive_positions"": 50000, ""max_eval_positions"": 300000, ""max_residues_per_chunk"": 900, ""max_sequence_length"": 1500, ""max_train_sequences"": 1000, ""negative_ratio"": 10, ""positive_weight"": 100.0, ""projection_dim"": 128, ""projection_dropout"": 0.1, ""projection_hidden_dim"": 512, ""seed"": 13, ""show_progress"": true}",0.131815907953977,0.8583061889250815,0.9767648909536368,0.2285342584562012,0.3310257521218645,0.4744522937427542,0.9826525769914819,0.004093333333333333,0.99,0.4841922910350801,0.517113783533765,0.4552117263843648,0.99,0.517113783533765,0.4552117263843648,0.4841922910350801,0.08951740875571736,0.813401187446989,0.03547975475397591,0.9329940627650551,0.022068862331444387,0.9618320610687023,0.011474709095226786,0.9838846480067854
20260516T163500Z_f45041fc,2026-05-16T16:35:00+00:00,squidly_like,contrastive_projection_bilstm,facebook/esm2_t6_8M_UR50D,data/residual_amino_database.csv,zero,85153,10714,10722,0.8,0.1,0.5,1613.272,contrastive_epoch_1_loss=0.0741 | contrastive_epoch_2_loss=0.0128 | contrastive_epoch_3_loss=0.0067 | lstm_epoch_1_loss=0.3344 | lstm_epoch_2_loss=0.2156 | lstm_epoch_3_loss=0.2088 | lstm_epoch_4_loss=0.1654 | lstm_epoch_5_loss=0.1526,"{""classifier_epochs"": 5, ""contrastive_batch_size"": 512, ""contrastive_batches_per_epoch"": 700, ""contrastive_epochs"": 3, ""device"": ""auto"", ""embedding_cache_dir"": ""data/embedding_cache"", ""embedding_model"": ""facebook/esm2_t6_8M_UR50D"", ""learning_rate"": 0.001, ""lstm_dropout"": 0.2, ""lstm_hidden_dim"": 128, ""lstm_layers"": 2, ""max_contrastive_positions"": 50000, ""max_eval_positions"": 300000, ""max_residues_per_chunk"": 900, ""max_sequence_length"": 1500, ""max_train_sequences"": 1000, ""negative_ratio"": 20, ""positive_weight"": 100.0, ""projection_dim"": 128, ""projection_dropout"": 0.1, ""projection_hidden_dim"": 512, ""seed"": 13, ""show_progress"": true}",0.10538827258320127,0.8664495114006515,0.9697695901891743,0.18791946308724833,0.29606525243817616,0.3811427063390702,0.9824424143369749,0.004093333333333333,0.95,0.3758532423208191,0.2546242774566474,0.7174267100977199,0.99,0.5986394557823129,0.14332247557003258,0.2312746386333771,0.08793055166619994,0.7989821882951654,0.03557312252964427,0.9346904156064462,0.022106267182853617,0.9643765903307888,0.01151270482070767,0.9881255301102629
20260516T170155Z_8f39819e,2026-05-16T17:01:55+00:00,squidly_like,contrastive_projection_bilstm,facebook/esm2_t6_8M_UR50D,data/residual_amino_database.csv,zero,85153,10714,10722,0.8,0.1,0.5,1314.024,contrastive_epoch_1_loss=0.1055 | contrastive_epoch_2_loss=0.0312 | contrastive_epoch_3_loss=0.0189 | lstm_epoch_1_loss=0.2243 | lstm_epoch_2_loss=0.1507 | lstm_epoch_3_loss=0.1232 | lstm_epoch_4_loss=0.1106 | lstm_epoch_5_loss=0.0922,"{""classifier_epochs"": 5, ""contrastive_batch_size"": 512, ""contrastive_batches_per_epoch"": 500, ""contrastive_epochs"": 3, ""device"": ""auto"", ""embedding_cache_dir"": ""data/embedding_cache"", ""embedding_model"": ""facebook/esm2_t6_8M_UR50D"", ""learning_rate"": 0.001, ""lstm_dropout"": 0.2, ""lstm_hidden_dim"": 128, ""lstm_layers"": 2, ""max_contrastive_positions"": 50000, ""max_eval_positions"": 300000, ""max_residues_per_chunk"": 900, ""max_sequence_length"": 1500, ""max_train_sequences"": 1000, ""negative_ratio"": 10, ""positive_weight"": 50.0, ""projection_dim"": 128, ""projection_dropout"": 0.1, ""projection_hidden_dim"": 512, ""seed"": 13, ""show_progress"": true}",0.12463054187192119,0.8241042345276873,0.9762092833331102,0.2165169020111254,0.31488291675834706,0.5093879608624685,0.9817773576190331,0.004093333333333333,0.8,0.513888888888889,0.4661803713527852,0.5724755700325733,0.95,0.8604651162790697,0.15065146579804561,0.25641025641025644,0.08541024922990759,0.7760814249363868,0.034950670691855215,0.9202714164546225,0.021844433222989023,0.9541984732824428,0.011446212301116124,0.9821882951653944
20260516T172350Z_a7b08f06,2026-05-16T17:23:50+00:00,squidly_like,contrastive_projection_bilstm,facebook/esm2_t6_8M_UR50D,data/residual_amino_database.csv,zero,85153,10714,10722,0.8,0.1,0.5,1336.582,contrastive_epoch_1_loss=0.1037 | contrastive_epoch_2_loss=0.0315 | contrastive_epoch_3_loss=0.0195 | lstm_epoch_1_loss=0.3427 | lstm_epoch_2_loss=0.2407 | lstm_epoch_3_loss=0.2044 | lstm_epoch_4_loss=0.1609 | lstm_epoch_5_loss=0.1580,"{""classifier_epochs"": 5, ""contrastive_batch_size"": 512, ""contrastive_batches_per_epoch"": 500, ""contrastive_epochs"": 3, ""device"": ""auto"", ""embedding_cache_dir"": ""data/embedding_cache"", ""embedding_model"": ""facebook/esm2_t6_8M_UR50D"", ""learning_rate"": 0.001, ""lstm_dropout"": 0.2, ""lstm_hidden_dim"": 128, ""lstm_layers"": 2, ""max_contrastive_positions"": 50000, ""max_eval_positions"": 300000, ""max_residues_per_chunk"": 900, ""max_sequence_length"": 2500, ""max_train_sequences"": 1000, ""negative_ratio"": 10, ""positive_weight"": 100.0, ""projection_dim"": 128, ""projection_dropout"": 0.1, ""projection_hidden_dim"": 512, ""seed"": 13, ""show_progress"": true}",0.06860616587060356,0.9006514657980456,0.9497442866132034,0.12750014410052452,0.24078398095564912,0.4536872970320658,0.9810059508081528,0.004093333333333333,0.95,0.5234505862646567,0.5387931034482759,0.508957654723127,0.99,0.7184873949579832,0.13925081433224756,0.23328785811732605,0.08625035004200504,0.7837150127226463,0.035044038467523575,0.9211195928753181,0.02173221866876134,0.9491094147582697,0.01139871764426502,0.9787955894826124
